filmId,mean,sum
1,2.0,2
2,7.666666666666667,46
25,1.6666666666666667,5
26,4.5,9
28,1.0,2
31,6.0,30
32,10.0,70
34,8.0,16
35,8.0,16
36,10.0,10
38,10.0,40
39,10.0,10
41,4.0,32
42,3.5555555555555554,32
44,2.0,2
46,10.0,10
47,10.0,20
49,5.333333333333333,16
50,4.75,19
51,6.0,18
55,5.625,135
57,7.538461538461538,98
58,1.25,10
61,4.714285714285714,33
63,5.0,5
73,7.0,35
74,6.5,26
76,3.4,17
77,9.26923076923077,241
84,7.625,122
88,6.2,31
90,3.9705882352941178,135
94,5.0,5
96,5.0,5
97,1.5,3
103,5.666666666666667,34
104,7.571428571428571,106
105,10.0,10
107,7.0,7
110,7.0,14
112,4.625,37
115,8.0,8
124,7.2,36
130,8.0,80
132,3.2777777777777777,59
133,6.651376146788991,1450
137,5.0,5
138,4.0,8
139,2.0,2
143,5.0,5
145,6.0,6
147,7.0,21
150,4.6,23
153,6.142857142857143,43
158,6.5,26
162,8.333333333333334,75
164,5.0,20
172,1.0,1
175,7.733333333333333,116
178,1.0,2
180,5.5,11
181,1.5625,25
183,6.0,12
186,4.4,44
189,9.0,27
190,6.666666666666667,40
192,2.5,5
195,7.333333333333333,22
197,3.5,7
198,2.5,5
199,7.5,30
202,6.0,6
203,6.0,6
208,7.708333333333333,185
211,4.6,23
213,8.0,8
214,4.666666666666667,14
215,8.878378378378379,657
218,6.0,24
221,5.5,22
223,7.4,37
225,3.5,28
229,7.0,7
230,6.0,6
232,1.0,2
233,7.0,7
239,8.636363636363637,95
240,4.444444444444445,40
241,3.0,3
243,6.333333333333333,133
245,10.0,30
248,10.0,10
250,5.0,5
251,10.0,10
256,5.6,28
258,8.0,16
261,6.447368421052632,245
262,8.0,32
272,3.0,3
273,10.0,30
276,6.217391304347826,143
279,6.0,6
286,1.0,1
287,5.666666666666667,17
289,10.0,50
295,7.444444444444445,67
296,8.857142857142858,62
297,6.166666666666667,37
298,7.0,7
308,6.333333333333333,19
314,10.0,10
315,9.0,9
316,7.0,14
317,10.0,30
321,3.0,3
325,4.1,41
328,6.297124600638978,1971
330,9.5,19
332,6.333333333333333,57
335,4.615384615384615,60
338,2.3333333333333335,7
340,1.0,1
341,4.142857142857143,29
342,7.0,7
345,3.2,16
348,1.0,1
352,8.0,64
354,1.5,3
355,6.0,6
361,6.5,13
367,3.0,3
374,4.75,38
378,10.0,60
380,2.0,4
381,10.0,10
390,3.6666666666666665,11
394,9.011363636363637,793
396,4.916666666666667,118
401,6.0,6
402,4.5,18
404,5.0,35
408,5.0,10
409,7.0,7
411,5.222222222222222,47
414,7.25,29
416,7.0,21
417,4.5,18
422,8.0,8
425,3.2857142857142856,46
426,3.0,6
437,9.5,19
440,10.0,10
444,6.4,64
447,5.5,22
449,1.0,9
451,7.0,21
453,5.0,5
454,2.0,2
455,10.0,10
460,9.914285714285715,347
461,1.0,1
466,5.753246753246753,443
472,8.4,42
478,1.0,1
480,4.857142857142857,34
482,5.333333333333333,16
483,6.59,1318
484,8.0,48
488,5.333333333333333,16
492,5.2,26
499,4.5,9
501,5.666666666666667,17
503,10.0,10
508,5.5,11
510,8.285714285714286,58
512,2.0,2
514,6.333333333333333,76
517,7.5,15
518,10.0,10
519,4.0,4
521,5.0,5
524,3.0,6
528,3.0,3
531,7.0,7
534,7.4,37
536,4.5,9
538,7.571428571428571,212
544,6.533333333333333,98
545,8.615384615384615,224
546,5.0,5
547,10.0,10
550,7.0,42
553,8.545454545454545,94
554,5.125,41
555,7.75,93
557,6.0,18
558,4.0,4
562,6.0,6
564,2.6,13
566,9.8,49
568,6.285714285714286,44
570,1.0,3
572,4.428571428571429,31
576,1.0,1
590,6.0,6
592,10.0,20
598,6.0,12
606,6.0,6
607,9.53191489361702,448
610,10.0,10
613,5.5,11
614,10.0,10
615,6.0,12
620,9.0,54
621,4.0,4
630,4.333333333333333,13
634,7.0,7
635,4.5,9
639,4.8125,77
641,9.3,93
646,7.0,14
649,3.7142857142857144,78
650,5.648648648648648,209
652,3.4285714285714284,24
654,5.5,11
655,3.0,6
657,10.0,90
667,6.153846153846154,80
669,1.0,35
672,9.5,38
674,4.111111111111111,37
677,6.833333333333333,41
679,2.8461538461538463,37
688,10.0,10
690,8.428571428571429,59
691,1.75,7
692,5.0,5
693,6.0,6
695,5.0,5
699,8.733333333333333,131
702,6.0,12
703,1.6666666666666667,10
713,8.0,8
716,6.571428571428571,92
719,7.166666666666667,43
720,9.849315068493151,719
721,3.5,7
722,1.0,1
723,5.576923076923077,145
726,8.428571428571429,59
729,10.0,10
730,4.0,4
732,6.25,25
735,10.0,10
742,8.0,16
745,8.0,8
746,8.0,8
757,4.0,4
758,7.0,7
761,5.333333333333333,32
762,1.0,1
767,1.2476190476190476,131
770,4.0,4
772,9.333333333333334,28
776,6.8,68
779,5.333333333333333,16
782,2.3333333333333335,14
783,10.0,20
784,10.0,10
787,7.0,7
790,2.6666666666666665,8
793,5.25,21
796,3.0,3
801,1.0,1
802,8.25,33
804,5.2,26
805,10.0,10
806,3.4,17
807,6.214285714285714,174
814,4.333333333333333,13
816,2.0,2
819,9.5,19
820,1.5,3
822,6.5,13
825,8.285714285714286,58
827,9.0,45
830,2.25,9
831,6.389830508474576,377
834,3.0,3
835,8.05,161
839,2.727272727272727,30
847,6.666666666666667,20
850,10.0,10
852,5.0,5
853,4.0,8
855,6.942857142857143,243
856,7.5,15
861,6.5,13
862,10.0,20
863,5.076923076923077,66
864,9.8,49
871,1.0,1
873,5.333333333333333,48
880,7.0,126
881,2.75,11
882,8.0,40
883,6.8,136
894,5.0,5
896,5.0,10
900,1.0,1
907,8.936651583710407,1975
909,10.0,20
910,1.0,1
916,5.066666666666666,76
917,3.0,3
919,6.0,18
920,5.363636363636363,59
924,10.0,60
925,10.0,10
926,6.0,6
929,8.0,8
931,4.0,12
937,6.166666666666667,37
939,2.3333333333333335,7
940,10.0,50
944,5.5,22
946,2.0,2
947,9.074074074074074,245
948,8.857142857142858,62
950,6.0,6
952,4.666666666666667,28
953,10.0,10
954,5.0,10
956,1.0,9
957,8.0,8
959,5.0,5
963,7.5,30
969,8.0,8
971,10.0,120
972,4.166666666666667,75
973,4.8125,154
974,5.0,5
975,3.2,16
976,7.0,7
978,7.75,62
979,5.0,5
981,4.5,117
982,8.0,8
987,3.0,3
988,7.0,7
989,2.0,6
990,5.333333333333333,16
998,5.75,23
1001,6.6,33
1007,3.0,6
1009,6.0,12
1013,5.4,27
1018,7.8,39
1023,4.083333333333333,49
1026,4.0,4
1029,7.037383177570093,753
1036,1.0,1
1040,8.5,17
1043,6.615384615384615,86
1045,5.0,5
1046,8.428571428571429,59
1053,4.1,41
1054,10.0,10
1057,2.0,2
1059,3.888888888888889,35
1062,1.0,5
1063,4.5,9
1064,1.7142857142857142,12
1070,10.0,10
1072,3.0,3
1080,3.9,39
1082,7.625,122
1086,5.0,5
1089,9.0,18
1090,10.0,10
1093,2.0,2
1094,6.571428571428571,46
1095,7.65,153
1097,2.1666666666666665,26
1104,4.833333333333333,29
1106,10.0,20
1107,10.0,10
1120,9.0,45
1121,9.666666666666666,87
1123,2.6785714285714284,75
1124,6.0,6
1125,4.0,44
1126,3.0,3
1137,6.6,33
1141,1.7692307692307692,46
1144,7.0,28
1145,8.333333333333334,25
1146,4.2,21
1152,10.0,10
1154,10.0,20
1159,4.222222222222222,38
1160,6.0,6
1163,9.0,9
1166,7.5,15
1167,7.888888888888889,71
1168,2.5,5
1169,7.466666666666667,112
1170,3.0,12
1180,10.0,20
1188,7.0,7
1189,6.428571428571429,90
1201,5.25,21
1204,10.0,20
1205,4.066666666666666,122
1206,10.0,30
1210,4.0,4
1211,6.375,51
1213,10.0,10
1214,10.0,190
1216,5.0,5
1222,5.3,53
1228,8.0,40
1230,2.8461538461538463,37
1231,5.833333333333333,70
1234,2.0,2
1236,10.0,10
1237,5.0,5
1238,5.916666666666667,71
1240,2.625,21
1244,1.0,4
1246,9.2,46
1249,3.0,3
1250,3.6666666666666665,11
1253,2.4,24
1257,9.0,9
1259,7.0,7
1261,1.5,3
1262,6.25,25
1269,10.0,50
1274,2.0,4
1281,2.6666666666666665,8
1282,3.5714285714285716,25
1288,3.0,3
1292,9.428571428571429,66
1294,2.0,4
1298,5.111111111111111,46
1308,7.0,14
1311,10.0,10
1315,4.0,12
1320,9.0,9
1323,3.0,3
1327,7.0,14
1331,6.846153846153846,89
1334,5.0,5
1339,10.0,110
1346,7.0,14
1347,3.505050505050505,347
1348,1.25,5
1350,4.0,4
1351,4.285714285714286,60
1352,1.0,1
1353,6.090909090909091,67
1362,8.0,8
1363,2.2857142857142856,16
1366,6.914285714285715,242
1369,5.833333333333333,35
1370,10.0,10
1372,5.0,5
1387,7.0,28
1396,10.0,10
1400,5.714285714285714,40
1406,9.333333333333334,28
1408,10.0,30
1409,8.727272727272727,96
1410,1.0,5
1420,2.857142857142857,20
1421,5.0,10
1422,4.0,4
1427,1.0,1
1429,6.933333333333334,832
1433,10.0,120
1434,5.0,5
1438,7.92,198
1440,3.5,21
1441,4.0,20
1442,2.0,2
1443,7.8,39
1446,7.5,15
1449,6.0,18
1451,1.3333333333333333,4
1455,8.5,17
1456,6.0,18
1460,1.8333333333333333,11
1461,3.5,7
1465,7.0,7
1472,3.875,62
1475,5.5,66
1476,9.0,9
1478,5.0,5
1479,10.0,20
1482,2.0,4
1485,8.5,17
1486,1.0,1
1487,3.0,3
1491,3.0,21
1497,5.5,33
1500,10.0,10
1501,2.5,5
1506,10.0,10
1507,4.0,12
1508,1.0,11
1511,7.25,29
1512,5.0,15
1515,7.25,29
1519,1.0,1
1520,7.0,7
1525,3.0,3
1529,2.789473684210526,53
1531,6.217391304347826,143
1532,2.5,5
1533,10.0,10
1534,9.0,18
1535,3.4,17
1537,8.051282051282051,314
1541,10.0,10
1550,9.974358974358974,778
1552,5.0,20
1561,7.0397727272727275,1239
1563,3.2857142857142856,46
1564,1.0,4
1565,6.0,6
1566,5.75,23
1567,6.0,18
1568,3.625,29
1569,4.857142857142857,34
1573,2.0,2
1575,7.747572815533981,798
1577,5.0,15
1583,1.0,1
1585,4.3,43
1586,10.0,10
1587,8.5,17
1589,8.0,8
1590,6.0,54
1591,4.5,18
1596,7.0,7
1597,1.75,7
1598,1.0,6
1599,5.5,11
1602,9.0,9
1603,1.5,3
1606,6.0,6
1610,1.75,7
1614,6.0,12
1616,8.214285714285714,575
1619,2.0,4
1623,6.0,12
1625,1.0,1
1627,6.333333333333333,38
1629,4.333333333333333,26
1631,8.0,8
1633,5.0,25
1634,4.5,27
1636,6.8,34
1638,4.16,104
1639,3.25,52
1640,10.0,30
1642,10.0,80
1645,5.0,20
1650,7.0,98
1651,8.0,8
1652,6.25,25
1654,10.0,10
1662,6.0,60
1664,3.5555555555555554,32
1668,5.666666666666667,17
1669,1.0,1
1674,4.0,4
1675,7.9523809523809526,167
1677,4.666666666666667,14
1682,3.272727272727273,36
1686,9.3,93
1687,5.5,22
1688,10.0,10
1692,4.0,8
1698,5.666666666666667,34
1701,7.0,42
1702,1.0,1
1704,1.9,19
1709,8.0,8
1712,10.0,40
1714,5.2727272727272725,116
1720,2.4285714285714284,34
1721,6.3342465753424655,2312
1722,4.833333333333333,29
1725,10.0,10
1726,9.0,18
1732,4.0,8
1733,5.0,5
1736,7.0,7
1741,2.0,4
1744,9.5,19
1745,3.0,3
1746,6.4,32
1750,7.0,7
1753,6.0,18
1754,5.0,5
1761,2.0,2
1762,3.5,7
1766,6.0,18
1772,5.1,51
1773,3.0,21
1775,3.6,18
1776,1.8666666666666667,28
1784,10.0,20
1786,5.375,43
1789,5.2,104
1793,3.375,27
1796,4.333333333333333,13
1797,7.5,15
1799,3.1538461538461537,41
1800,6.333333333333333,57
1805,4.5,18
1806,7.0,7
1808,5.375,43
1809,10.0,10
1815,7.0,7
1816,1.6666666666666667,5
1818,3.3,33
1822,2.888888888888889,52
1832,8.0,8
1837,10.0,10
1838,2.0,2
