userId,filmId,pref
133879,1,2
61587,2,10
131439,2,9
119164,2,8
63834,2,7
1871,2,6
68323,25,2
114979,25,2
103568,25,1
78767,26,6
100148,26,3
7490,28,1
9498,28,1
720,31,10
67649,31,10
56792,31,4
125763,31,4
133913,31,2
47737,32,10
51412,32,10
60889,32,10
87085,32,10
103011,32,10
6751,34,10
134199,34,6
127406,35,9
72433,35,7
133031,36,10
5038,38,10
39232,38,10
50879,38,10
134723,38,10
71569,39,10
1181,41,7
14010,41,5
80023,41,4
80131,41,4
1119,41,3
126810,42,10
129697,42,5
82883,42,4
99504,42,3
118025,42,3
61261,44,2
5711,46,10
77311,47,10
129230,47,10
58765,49,7
129330,49,6
62025,49,3
44318,50,6
28146,50,5
50989,50,4
127070,50,4
86011,51,8
43030,51,5
108585,51,5
50650,55,10
102364,55,9
21247,55,8
47644,55,8
57982,55,8
7523,57,10
27490,57,10
65630,57,10
73133,57,10
82185,57,10
91997,58,2
119288,58,2
19140,58,1
30267,58,1
34719,58,1
25448,61,6
112708,61,6
52373,61,5
117128,61,5
124297,61,5
130695,63,5
64593,73,10
43739,73,9
114810,73,6
29141,73,5
50968,73,5
18358,74,10
127171,74,9
92275,74,4
12451,74,3
38230,76,7
422,76,5
10189,76,2
94412,76,2
55623,76,1
19359,77,10
40606,77,10
41558,77,10
77557,77,10
85840,77,10
736,84,10
23723,84,10
39663,84,10
52136,84,10
79460,84,10
17246,88,10
13048,88,8
59015,88,6
90280,88,4
122486,88,3
27236,90,10
74209,90,10
75787,90,10
102344,90,10
3532,90,9
90280,94,5
71873,96,5
43729,97,2
84752,97,1
36039,103,10
56839,103,10
30873,103,7
60587,103,5
17911,103,1
703,104,10
67656,104,10
113930,104,10
26566,104,9
45768,104,9
113750,105,10
27520,107,7
15648,110,7
90526,110,7
129452,112,7
898,112,6
22623,112,5
94932,112,5
68794,112,4
107826,115,8
94199,124,10
57331,124,8
64472,124,8
8971,124,5
56792,124,5
76687,130,10
116631,130,10
127813,130,10
24063,130,9
74694,130,9
132840,132,10
11947,132,9
92463,132,7
20576,132,6
45966,132,5
2,133,10
2556,133,10
4026,133,10
4895,133,10
12868,133,10
60205,137,5
87783,138,4
126136,138,4
121448,139,2
132567,143,5
72058,145,6
79706,147,10
104565,147,10
84752,147,1
12705,150,9
89033,150,8
16515,150,3
78756,150,2
5366,150,1
4627,153,10
8583,153,10
18546,153,10
63096,153,10
2200,153,1
102722,158,7
109747,158,7
9682,158,6
25028,158,6
2559,162,9
42280,162,9
74073,162,9
113859,162,9
134987,162,9
33871,164,8
29103,164,6
101507,164,4
95028,164,2
44066,172,1
16534,175,10
26271,175,10
27642,175,10
93433,175,10
103925,175,10
33792,178,1
52707,178,1
29130,180,6
63796,180,5
116432,181,3
16072,181,2
19191,181,2
55509,181,2
106188,181,2
18868,183,10
102134,183,2
28738,186,5
40616,186,5
46943,186,5
47769,186,5
50121,186,5
97497,189,10
13597,189,9
48635,189,8
39717,190,9
77473,190,8
121493,190,8
101151,190,7
62547,190,4
104057,192,3
11187,192,2
87998,195,10
72182,195,6
78575,195,6
53975,197,5
97383,197,2
5313,198,3
34998,198,2
956,199,10
89033,199,10
54471,199,6
129087,199,4
5943,202,6
55650,203,6
24530,208,10
70999,208,10
87578,208,10
91152,208,10
118201,208,10
99171,211,8
97018,211,7
30032,211,6
9369,211,1
125884,211,1
127270,213,8
35951,214,7
101321,214,5
118703,214,2
3430,215,10
5517,215,10
7699,215,10
15932,215,10
19073,215,10
91111,218,10
42944,218,6
43380,218,4
74411,218,4
2568,221,8
24438,221,5
117078,221,5
119057,221,4
57958,223,9
124297,223,9
83983,223,7
23339,223,6
127458,223,6
4094,225,10
22499,225,4
47333,225,4
12640,225,3
86011,225,3
78756,229,7
83926,230,6
15648,232,1
118045,232,1
111204,233,7
25811,239,10
42135,239,10
45047,239,10
67065,239,10
107570,239,10
46171,240,7
12007,240,6
21984,240,5
36510,240,5
37358,240,4
27332,241,3
52553,243,8
55278,243,8
95626,243,8
39673,243,7
40223,243,7
50652,245,10
111291,245,10
133368,245,10
30602,248,10
89556,250,5
120031,251,10
28566,256,6
80599,256,6
113419,256,6
17328,256,5
96588,256,5
74847,258,10
72480,258,6
77505,261,10
4231,261,9
50415,261,9
55973,261,9
68373,261,9
67374,262,10
91775,262,10
118330,262,8
110521,262,4
31688,272,3
16455,273,10
40880,273,10
109820,273,10
25701,276,10
68078,276,9
70470,276,9
98543,276,9
9302,276,8
91127,279,6
76802,286,1
43214,287,8
64718,287,8
36560,287,1
16874,289,10
90664,289,10
91621,289,10
121768,289,10
134045,289,10
97708,295,10
52182,295,9
56792,295,8
109803,295,8
110809,295,8
9344,296,10
18909,296,10
52292,296,10
86583,296,10
116608,296,10
26677,297,8
56815,297,8
80863,297,8
115533,297,6
100770,297,5
12623,298,7
81906,308,10
84752,308,5
121989,308,4
53621,314,10
124585,315,9
34067,316,7
68818,316,7
1636,317,10
69685,317,10
112348,317,10
72221,321,3
16112,325,10
44163,325,10
52098,325,10
71898,325,5
15523,325,1
10593,328,10
19421,328,10
35374,328,10
39556,328,10
72172,328,10
91462,330,10
116835,330,9
127521,332,9
78539,332,7
